Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
6/8/18,13.15,14.2,13.1,13.35,13.33,0.15,"80,201",0,"132,794"
6/7/18,13.05,13.95,12.9,13.15,13.18,0.1,"94,274",789,"135,722"
6/6/18,13.6,13.65,12.95,13.1,13.08,-0.55,"92,924",60,"140,974"
6/5/18,13.85,14.12,13.6,13.6,13.625,-0.3,69976,288,144329
6/4/18,14.45,14.5,13.85,13.95,13.925,-0.5,75458,397,146329
6/1/18,15.36,15.37,14.3,14.4,14.425,-1,110765,26,153578
5/31/18,15.2,15.8,14.9,15.4,15.425,0.25,92229,360,167873
5/30/18,16,16.22,14.85,15.2,15.175,-0.75,122750,0,177005
5/29/18,14,16.7,13.8,15.96,15.925,1.8,225282,0,191496
5/25/18,13.85,14.3,13.7,14.2,14.125,0.3,91462,621,186967
5/24/18,13.95,14.72,13.8,13.85,13.825,-0.05,98783,18,190166
5/23/18,14.2,14.95,13.85,13.9,13.875,-0.35,95098,480,190156
5/22/18,14.15,14.3,13.88,14.2,14.225,0.15,65468,222,192703
5/21/18,14.25,14.25,13.7,14.2,14.075,-0.45,88395,455,194533
5/18/18,14.35,14.8,14.22,14.55,14.525,0.15,67907,126,192856
5/17/18,14.65,14.86,14.27,14.35,14.375,-0.3,86424,670,197262
5/16/18,15.3,15.42,14.6,14.65,14.675,-0.65,92631,220,199981
5/15/18,13.45,15.1,13.33,14.86,14.875,1.5,95888,0,41223
5/14/18,13.65,13.7,13.05,13.42,13.375,-0.3,64918,21,57298
5/11/18,14.2,14.32,13.65,13.73,13.675,-0.5,61702,132,71972
5/10/18,14.83,14.97,13.9,14.25,14.175,-0.65,85199,420,76043
5/9/18,15.8,15.95,14.7,14.82,14.825,-0.95,87460,888,88750
5/8/18,15.7,16.2,15.65,15.8,15.775,0.05,73272,60,96181
5/7/18,15.85,16.01,15.55,15.7,15.725,-0.15,63599,227,106716
5/4/18,18.05,18.05,18,18,17.9,-0.175,4,0,21
5/3/18,18.07,18.35,18.07,18.09,18.075,-0.075,8,0,17
5/2/18,18.25,18.25,18.24,18.24,18.15,0.175,8,0,13
5/1/18,0,18.3,18.35,0,17.975,-0.275,0,0,5
4/30/18,18.32,18.4,18.32,18.38,18.25,-0.025,4,0,5
4/27/18,18.65,18.65,18.5,18.65,18.275,-0.3,1,0,3
4/26/18,18.5,18.8,18.5,18.5,18.575,-0.125,1,0,3
4/25/18,0,18.7,18.7,0,18.7,-0.025,0,0,2
4/24/18,18.55,18.95,18.5,18.95,18.725,0.275,2,0,2
4/23/18,0,18.5,18.85,0,18.45,0,0,0,0
4/18/18,15.45,15.55,15.1,15.45,17.26,1.935,3828,0,39531
4/17/18,16.8,16.9,14.6,15.4,15.325,-1.5,96036,289,41558
4/16/18,17.55,17.85,16.35,16.8,16.825,-1.1,105407,631,48874
4/13/18,18.75,19.15,17.65,17.92,17.925,-0.9,90343,79,58428
4/12/18,20,20.18,18.65,18.75,18.825,-1.25,87617,4,68793
4/11/18,20.25,21.05,19.8,20,20.075,-0.1,81710,0,83054
4/10/18,20.7,21.08,19.69,20.25,20.175,-0.65,94691,400,93373
4/9/18,20.9,20.9,19.8,20.85,20.825,0.2,75938,0,106052
4/6/18,19.05,21.67,18.96,20.67,20.625,1.55,123068,0,115734
4/5/18,19.95,20.1,18.95,19.1,19.075,-0.9,79163,300,117935
4/4/18,20.65,22.65,19.85,19.95,19.975,-0.5,129401,600,124994
4/3/18,21.35,21.7,20.35,20.65,20.475,-0.95,110925,0,130975
4/2/18,19.6,22.52,19.46,21.15,21.425,1.65,158031,0,147048
3/29/18,20.8,21.1,19.3,19.77,19.775,-1.25,99120,0,146963
3/28/18,20.55,21.77,19.95,20.97,21.025,0.6,153254,0,162371
3/27/18,19.35,21,18.9,20.5,20.425,1.1,127337,0,171495
3/26/18,20.5,20.65,18.73,19.3,19.325,-1.1,120849,250,177438
3/23/18,19.55,20.82,18.77,20.45,20.425,1.05,181145,625,188312
3/22/18,17.35,19.85,17.05,19.4,19.375,2.05,238884,0,189550
